Date     Hour       ImagePath       PassCount      NotPassCount
2026-02-18   06   /home/open/.edgegpt-0d-resin/Inference_Resin_images/2026-02-18/06/image_20260218_063914.jpg        51        0
2026-02-18   06   /home/open/.edgegpt-0d-resin/Inference_Resin_images/2026-02-18/06/image_20260218_063941.jpg        52        0
2026-02-18   06   /home/open/.edgegpt-0d-resin/Inference_Resin_images/2026-02-18/06/image_20260218_063955.jpg        53        0
2026-02-18   06   /home/open/.edgegpt-0d-resin/Inference_Resin_images/2026-02-18/06/image_20260218_064004.jpg        54        0
2026-02-18   06   /home/open/.edgegpt-0d-resin/Inference_Resin_images/2026-02-18/06/image_20260218_064046.jpg        55        0
2026-02-18   06   /home/open/.edgegpt-0d-resin/Inference_Resin_images/2026-02-18/06/image_20260218_064053.jpg        56        0
2026-02-18   06   /home/open/.edgegpt-0d-resin/Inference_Resin_images/2026-02-18/06/image_20260218_064059.jpg        57        0
2026-02-18   06   /home/open/.edgegpt-0d-resin/Inference_Resin_images/2026-02-18/06/image_20260218_064122.jpg        58        0
2026-02-18   06   /home/open/.edgegpt-0d-resin/Inference_Resin_images/2026-02-18/06/image_20260218_064135.jpg        59        0
2026-02-18   06   /home/open/.edgegpt-0d-resin/Inference_Resin_images/2026-02-18/06/image_20260218_064146.jpg        60        0
2026-02-18   06   /home/open/.edgegpt-0d-resin/Inference_Resin_images/2026-02-18/06/image_20260218_064208.jpg        61        0
2026-02-18   06   /home/open/.edgegpt-0d-resin/Inference_Resin_images/2026-02-18/06/image_20260218_064226.jpg        62        0
2026-02-18   06   /home/open/.edgegpt-0d-resin/Inference_Resin_images/2026-02-18/06/image_20260218_064253.jpg        63        0
2026-02-18   06   /home/open/.edgegpt-0d-resin/Inference_Resin_images/2026-02-18/06/image_20260218_064423.jpg        64        0
2026-02-18   06   /home/open/.edgegpt-0d-resin/Inference_Resin_images/2026-02-18/06/image_20260218_064446.jpg        65        0
2026-02-18   06   /home/open/.edgegpt-0d-resin/Inference_Resin_images/2026-02-18/06/image_20260218_064711.jpg        66        0
2026-02-18   06   /home/open/.edgegpt-0d-resin/Inference_Resin_images/2026-02-18/06/image_20260218_064744.jpg        67        0
2026-02-18   06   /home/open/.edgegpt-0d-resin/Inference_Resin_images/2026-02-18/06/image_20260218_064755.jpg        68        0
2026-02-18   06   /home/open/.edgegpt-0d-resin/Inference_Resin_images/2026-02-18/06/image_20260218_064819.jpg        69        0
2026-02-18   06   /home/open/.edgegpt-0d-resin/Inference_Resin_images/2026-02-18/06/image_20260218_064828.jpg        70        0
2026-02-18   06   /home/open/.edgegpt-0d-resin/Inference_Resin_images/2026-02-18/06/image_20260218_064833.jpg        71        0
2026-02-18   06   /home/open/.edgegpt-0d-resin/Inference_Resin_images/2026-02-18/06/image_20260218_064925.jpg        72        0
2026-02-18   07   /home/open/.edgegpt-0d-resin/Inference_Resin_images/2026-02-18/07/image_20260218_072922.jpg        73        0
2026-02-18   07   /home/open/.edgegpt-0d-resin/Inference_Resin_images/2026-02-18/07/image_20260218_072930.jpg        74        0
2026-02-18   07   /home/open/.edgegpt-0d-resin/Inference_Resin_images/2026-02-18/07/image_20260218_072954.jpg        75        0
2026-02-18   07   /home/open/.edgegpt-0d-resin/Inference_Resin_images/2026-02-18/07/image_20260218_073039.jpg        76        0
2026-02-18   07   /home/open/.edgegpt-0d-resin/Inference_Resin_images/2026-02-18/07/image_20260218_073235.jpg        77        0
2026-02-18   07   /home/open/.edgegpt-0d-resin/Inference_Resin_images/2026-02-18/07/image_20260218_073417.jpg        78        0
2026-02-18   07   /home/open/.edgegpt-0d-resin/Inference_Resin_images/2026-02-18/07/image_20260218_073426.jpg        79        0
2026-02-18   07   /home/open/.edgegpt-0d-resin/Inference_Resin_images/2026-02-18/07/image_20260218_073506.jpg        80        0
2026-02-18   07   /home/open/.edgegpt-0d-resin/Inference_Resin_images/2026-02-18/07/image_20260218_073549.jpg        81        0
2026-02-18   07   /home/open/.edgegpt-0d-resin/Inference_Resin_images/2026-02-18/07/image_20260218_073614.jpg        82        0
2026-02-18   07   /home/open/.edgegpt-0d-resin/Inference_Resin_images/2026-02-18/07/image_20260218_073649.jpg        83        0
2026-02-18   07   /home/open/.edgegpt-0d-resin/Inference_Resin_images/2026-02-18/07/image_20260218_073713.jpg        84        0
2026-02-18   07   /home/open/.edgegpt-0d-resin/Inference_Resin_images/2026-02-18/07/image_20260218_073759.jpg        85        0
2026-02-18   07   /home/open/.edgegpt-0d-resin/Inference_Resin_images/2026-02-18/07/image_20260218_073821.jpg        86        0
2026-02-18   07   /home/open/.edgegpt-0d-resin/Inference_Resin_images/2026-02-18/07/image_20260218_073900.jpg        87        0
2026-02-18   07   /home/open/.edgegpt-0d-resin/Inference_Resin_images/2026-02-18/07/image_20260218_073926.jpg        88        0
2026-02-18   07   /home/open/.edgegpt-0d-resin/Inference_Resin_images/2026-02-18/07/image_20260218_074004.jpg        89        0
2026-02-18   07   /home/open/.edgegpt-0d-resin/Inference_Resin_images/2026-02-18/07/image_20260218_074028.jpg        90        0
2026-02-18   07   /home/open/.edgegpt-0d-resin/Inference_Resin_images/2026-02-18/07/image_20260218_074102.jpg        91        0
